,Merk,Soort,Percentagealcohol,Brouwerij
1,3 Schténg,hoge gisting,6,Brasserie Grain d'Orge
2,400,blond,5.6,'t Hofbrouwerijke voor Brouwerij Montaigu
3,IV Saison,saison,6.5,Brasserie de Jandrain-Jandrenouille
4,V Cense,hoge gisting;special belge,7.5,Brasserie de Jandrain-Jandrenouille
5,VI Wheat,hoge gisting;tarwebier,6,Brasserie de Jandrain-Jandrenouille
6,Aardmonnik,oud bruin,8,De Struise Brouwers
7,Aarschotse Bruine,bruin,6,Stadsbrouwerij Aarschot
8,Abbay d'Aulne Blonde des Pères 6,abdijbier;blond,6,Brasserie Val de Sambre
9,Abbay d'Aulne Brune des Pères 6,abdijbier;bruin,6,Brasserie Val de Sambre
10,Abbay d'Aulne Super Noël 9,abdijbier;kerstbier,9,Brasserie Val de Sambre
11,Abbay d'Aulne Triple Blonde,abdijbier;tripel,8,Brasserie Val de Sambre
12,Abbay d'Aulne Triple Brune,abdijbier;tripel,8,Brasserie Val de Sambre
13,Abbay d'Aulne Val de Sambre,abdijbier;amber,6.4,Brasserie Val de Sambre
14,Abbaye de Bonne-Espérance,abdijbier,7.8,Brouwerij Lefebvre
15,Abbaye de Forest,abdijbier;tripel,6.5,Brasserie de Silly
16,Abbaye de la Thure,abdijbier,10,Brasserie Brootcoorens
17,Abbaye de Saint-Martin Blonde,abdijbier,7,Brasserie de Brunehaut
18,Abbaye de Saint-Martin Brune,abdijbier,8,Brasserie de Brunehaut
19,Abbaye de Saint-Martin Cuvée de Noël,abdijbier;kerstbier,8.5,Brasserie de Brunehaut
20,Abbaye de Saint-Martin Triple,abdijbier;tripel,9,Brasserie de Brunehaut
21,Abbaye de Oudkerken,abdijbier,6.2,Brouwerij Lefebvre
22,Abbaye des Rocs Blonde,abdijbier;hoge gisting,7.5,Brasserie de l'Abbaye des Rocs
23,Abbaye des Rocs Brune,abdijbier bruin,9,Brasserie de l'Abbaye des Rocs
24,Abbaye des Rocs Grand Cru,abdijbier ale,9.5,Brasserie de l'Abbaye des Rocs
25,Abbaye des Rocs Spéciale Noël,abdijbier;kerstbier,9,Brasserie de l'Abbaye des Rocs
26,Abdis Blond,blond,6.5,Brouwerij Riva
27,Abdis Bruin,bruin,6.5,Brouwerij Riva
28,Abdis Tripel,tripel,8.2,Brouwerij Riva
29,Abdij van Roosenberg Dubbel,dubbel,7,Brouwerij Van Steenberge
30,Abdij van Roosenberg Tripel,Tripel,9,Brouwerij Van Steenberge
31,Achel 5 Blond,trappist;blond,5,Achelse Kluis
32,Achel 5 Bruin,trappist;bruin,5,Achelse Kluis
33,Achel 8 Blond,trappist;blond,8,Achelse Kluis
34,Achel 8 Bruin,trappist;bruin,8,Achelse Kluis
35,Achel Blond Extra,trappist;blond,9.5,Achelse Kluis
36,Achel Bruin Extra,trappist;bruin,9.5,Achelse Kluis
37,Adelardus,abdijbier,7,Brouwerij Sint-Jozef voor Brouwerij Kerkom
38,Adelardus Tripel,abdijbier;tripel,9,Brouwerij Sint-Jozef voor Brouwerij Kerkom
39,Adler,pils,6.5,Brouwerij Haacht
40,Adriaen Brouwer,hoge gisting;bruin,5,Brouwerij Roman
41,Adriaen Brouwer Dark Gold,hoge gisting;bruin,8.5,Brouwerij Roman
42,Affligem Blond,abdijbier;blond,6.8,Affligem Brouwerij (vroeger Brouwerij De Smedt nu deel van Heineken)
43,Affligem Dubbel,abdijbier;bruin,6.8,Affligem Brouwerij (Heineken)
44,Affligem 950 Cuvee,abdijbier;blond,6.8,Affligem Brouwerij (Heineken)
45,Affligem Noël,abdijbier;kerstbier,9,Affligem Brouwerij (Heineken)
46,Affligem Patersvat,abdijbier;dubbel gehopt,6.8,Affligem Brouwerij (Heineken)
47,Affligem Tripel,abdijbier;tripel,8.5,Affligem Brouwerij (Heineken)
48,Agrumbocq,hoge gisting;witbier;fruitbier,3.1,Brasserie du Bocq
49,Alpha,amber,6,Brouwerij Anders! voor Brussels Beer Project
50,Alpaïde,donkere tripel,10,Brouwerij Nieuwhuys
51,Alpaïde Cuvée van de generaal,blonde tripel,8.5,Brouwerij Nieuwhuys
52,Akila Pils,pils,5,Brouwerij Louwaege
53,Alfri,NA pils,0.5,Brouwerij Roman
54,Altitude 6,ale;blond,6,Brasserie de l'Abbaye des Rocs
55,Alvinne Extra Restyled,lichtamber,7,Brouwerij Alvinne
56,Alvinne Lex'ke,blond,6.3,Brouwerij Alvinne
57,Alvinne Tripel,tripel,8.7,Brouwerij Alvinne
58,Alvino Bourgogne Barrel OA,fruitbier;oak aged,5.5,Brouwerij Alvinne
59,Ambetanterik,stout,8.7,Brouwerij Het Alternatief bij Brouwerij Alvinne
60,Ambiorix,roodbruin,8,Brouwerij Slaghmuylder
61,Angélus Blonde,blond,7,Brasserie Brootcoorens
62,Angélus Brune,bruin,7,Brasserie Brootcoorens
63,Angélus Spéciale Noël,kerstbier,9,Brasserie Brootcoorens
64,Anker Blond,blond,6.5,Brouwerij Het Anker
65,Anker Boscoulis,fruitbier,6.5,Brouwerij Het Anker
66,Anker Herfstbok,bruin speciaalbier;bokbier,6.5,Brouwerij Het Anker
67,Anker Pils,pils,5,Brouwerij Het Anker
