id,name,type
1,Horal's Oude Geuze Mega Blend,BeerBrand
2,Lustem,BeerBrand
3,Wintersnood,BeerBrand
4,Nondedju,BeerBrand
5,Notre Passion,BeerBrand
6,Vieux Temps,BeerBrand
7,Leffe 9Â°,BeerBrand
8,Leffe Blond,BeerBrand
9,Leffe Bruin,BeerBrand
10,Leffe Kerst,BeerBrand
11,Leffe Lente,BeerBrand
12,Leffe Radieuse,BeerBrand
13,Leffe Royale,BeerBrand
14,Leffe Ruby,BeerBrand
15,Leffe Tripel,BeerBrand
16,Leffe Vieille CuvÃ©e,BeerBrand
17,Orval,BeerBrand
18,Rochefort 10,BeerBrand
19,Rochefort 6,BeerBrand
20,Rochefort 8,BeerBrand
21,Chimay Blauw,BeerBrand
22,Chimay dorÃ©e,BeerBrand
23,Chimay Rood,BeerBrand
24,Chimay Wit,BeerBrand
25,Achel 5 Blond,BeerBrand
26,Achel 5 Bruin,BeerBrand
27,Achel 8 Blond,BeerBrand
28,Achel 8 Bruin,BeerBrand
29,Achel Blond Extra,BeerBrand
30,Achel Bruin Extra,BeerBrand
31,Delhaize Christmas,BeerBrand
32,Florival Bruin,BeerBrand
33,Florival Tripel,BeerBrand
34,Florival Winter,BeerBrand
35,Hotteuse Grand Cru,BeerBrand
36,Postel Dubbel,BeerBrand
37,Postel Tripel,BeerBrand
38,Florival Blond,BeerBrand
39,Leeuwse Witte,BeerBrand
40,Napoleon,BeerBrand
41,Op-Ale,BeerBrand
42,Postel Blond,BeerBrand
43,Affligem 950 Cuvee,BeerBrand
44,Affligem Dubbel,BeerBrand
45,Affligem NoÃ«l,BeerBrand
46,Affligem Patersvat,BeerBrand
47,Affligem Tripel,BeerBrand
48,Affligem Blond,BeerBrand
49,Maes,BeerBrand
50,Mort Subite Faro,BeerBrand
51,Mort Subite Framboise,BeerBrand
52,Mort Subite Gueuze,BeerBrand
53,Mort Subite Kriek,BeerBrand
54,Mort Subite Original Gueuze,BeerBrand
55,Mort Subite Original Kriek,BeerBrand
56,Mort Subite Oude Gueuze,BeerBrand
57,Mort Subite Oude Kriek,BeerBrand
58,Mort Subite PÃªche,BeerBrand
59,Mort Subite Witte Lambic,BeerBrand
60,Mort Subite Xtreme Framboise,BeerBrand
61,Mort Subite Xtreme Kriek,BeerBrand
62,Mort Subite Xtreme Manzana,BeerBrand
63,Watneys Scotch Ale,BeerBrand
64,Grimbergen Blond,BeerBrand
65,Grimbergen CuvÃ©e de l'Ermitage,BeerBrand
66,Grimbergen Dubbel,BeerBrand
67,Grimbergen Goud 8Â°,BeerBrand
68,Grimbergen Optimo Bruno,BeerBrand
69,Grimbergen Selection,BeerBrand
70,Grimbergen Tripel,BeerBrand
71,Ciney Blond,BeerBrand
72,Ciney Bruin,BeerBrand
73,Cristal 1928,BeerBrand
74,Cristal Alken,BeerBrand
75,Golding Campina,BeerBrand
76,Hapkin,BeerBrand
77,Judas,BeerBrand
78,Maes Nature,BeerBrand
79,Thouroutenaere,BeerBrand
80,Zulte,BeerBrand
81,Brugs (Tarwebier),BeerBrand
82,Seefbier,BeerBrand
83,Authentic 621,BeerBrand
84,Authentic AmbrÃ©e,BeerBrand
85,Authentic Blonde,BeerBrand
86,Authentic Blonde de NoÃ«l,BeerBrand
87,Authentic Triple,BeerBrand
88,La Pils des 3 Canaux,BeerBrand
89,La Saison de Pipaix,BeerBrand
90,La Vapeur en Folie,BeerBrand
91,La Vapeur LÃ©gÃ¨re,BeerBrand
92,Saison de Pipaix,BeerBrand
93,Vapeur cochonne,BeerBrand
94,Vapeur en folie,BeerBrand
95,La Rulles Blonde,BeerBrand
96,La Rulles Brune,BeerBrand
97,La Rulles CuvÃ©e Meilleurs VÅ“ux,BeerBrand
98,La Rulles Estivale,BeerBrand
99,La Rulles La Grande 10,BeerBrand
100,La Rulles Triple,BeerBrand
101,Abbaye de la Thure,BeerBrand
102,AngÃ©lus Blonde,BeerBrand
103,AngÃ©lus Brune,BeerBrand
104,AngÃ©lus SpÃ©ciale NoÃ«l,BeerBrand
105,Belgian Angel Stout,BeerBrand
106,Grand Cru Bruocsella,BeerBrand
107,Lou Pepe,BeerBrand
108,RosÃ© de Gambrinus,BeerBrand
109,Caracole,BeerBrand
110,Forestinne Ambrosia,BeerBrand
111,Forestinne Gothika,BeerBrand
112,Forestinne Mysteria,BeerBrand
113,Forestinne Nordika,BeerBrand
114,Forestinne Primoria,BeerBrand
115,Nostradamus,BeerBrand
116,Saxo,BeerBrand
117,Troublette,BeerBrand
118,Blonde de NoÃ«l,BeerBrand
119,Paix-Dieu,BeerBrand
120,Mc Chouffe,BeerBrand
121,N'Ice Chouffe,BeerBrand
122,La Corne du Bois des Pendus Blonde,BeerBrand
123,La Corne du Bois des Pendus Triple,BeerBrand
124,Archiduc,BeerBrand
125,Asterie,BeerBrand
