"cti".1	"mp.name"
25.1	"HALDOL 5 MG/ML"
95.1	"ENDOXAN 100 MG"
113.1	"HALDOL 2 MG/ML"
122.1	"ENDOXAN  200 MG"
131.1	"ENDOXAN 50MG"
174.1	"FRENACTIL"
271.1	"DIPIPERON 40 MG"
463.1	"DAKTARIN(EX FUNGISTAN)"
585.1	"STUGERON"
682.1	"ENDOXAN 500MG"
691.1	"DAKTACORT"
847.1	"ORAP FORTE 4 MG"
856.1	"ORAP 1 MG"
892.1	"SEMAP 20 MG"
987.1	"GYNO-DAKTARIN 2 %"
996.1	"IMAP 2 MG/ML"
1032.1	"DAKTARIN  (EX FUNGISTAN)"
1057.1	"VERMOX 100 MG"
1163.1	"HALDOL 2 MG"
1197.1	"HALDOL 5 MG"
1215.1	"IMODIUM 2MG (EX SUPRASEC)"
1294.1	"RHOGAM ULTRAFILTERED PLUS 300 MCG"
1547.1	"FURACINE 2MG/G"
1583.1	"FURADANTINE M.C. 50MG"
1601.1	"FURADANTINE M.C. 100 MG"
1802.1	"ROVAMYCINE 1500000 U.I."
1811.1	"THERALENE 10 MG"
2073.1	"HEXOMEDINE 1MG; 0
2195.1	"GARDENAL"
2362.1	"NOZINAN"
2396.1	"TOPLEXIL"
2466.1	"HEXOMEDINE TRANSDERMAAL 1
2554.1	"NIVAQUINE  100MG"
2624.1	"FLAGYL 500 MG"
2642.1	"HEXOMEDINE OPLOSSING 1 MG/ML"
2694.1	"CERUBIDINE 20 MG"
2791.1	"PHENERGAN  50MG/2ML"
2852.1	"THERALENE 5MG"
3062.1	"NOZINAN 25 MG"
3071.1	"NOZINAN"
3096.1	"NOZINAN"
3157.1	"CROIX BLANCHE(EX WITTE KRUIS)"
3184.1	"CROIX BLANCHE(FN)"
3446.1	"LEDERTREXATE 2
3491.1	"HYPOTONAX 48"
3507.1	"GLUCION 10%"
3586.1	"RIXAPEN"
3656.1	"CHLORAMPHENICOL ERFA (EX RIT)"
3665.1	"CHLORAMPHENICOL ERFA (EX RIT)"
3692.1	"CHLORAMPHENICOL ERFA 1%"
3771.1	"DYTA-URESE"
4076.1	"AUREOMYCIN 1 %"
4094.1	"ARTANE 2MG"
4103.1	"ARTANE 5MG"
4121.1	"DIAMOX"
4137.1	"DIAMOX"
4295.1	"PENADUR L.A. 1200000UI"
4426.1	"NEOBACITRACINE"
4444.1	"CALADRYL LOTION"
4514.1	"CALADRYL"
4584.1	"ZARONTIN 250 MG/5ML"
4697.1	"NARDELZINE"
4934.1	"EPANUTIN 25 MG/ML"
5004.1	"EPANUTIN 100 MG"
5293.1	"KETALAR 50 MG/ML"
5625.1	"STILENE EMULSIE"
6212.1	"ANTEBOR"
6964.1	"ISO-BETADINE BUCCALE 1%"
7077.1	"ISO-BETADINE DERMIQUE 10%"
7086.1	"ISO-BETADINE GYNECOLOGIQUE 10%"
7095.1	"ISO-BETADINE SAVON GERMICIDE 7
7217.1	"ACTAPULGITE"
7567.1	"MADECASSOL"
7944.1	"TEEJEL"
19205.1	"MINHAVEZ"
19293.1	"DIPHANTOINE"
20027.1	"SAINTBOIS"
20842.1	"RHINOSPRAY 1.18MG/ML"
32006.1	"METHERGIN"
32024.1	"SANDOMIGRAN 0
32033.1	"DIHYDERGOT FORTE 2
32094.1	"HYDERGINE"
32191.1	"DIHYDERGOT 1 MG/ML"
32383.1	"CAFERGOT  1MG/100MG"
32636.1	"ETUMINE 40 MG"
32891.1	"CELESTONE CHRONODOSE 6
33004.1	"ROBINUL"
33205.1	"UPSA C"
33223.1	"ALDACTAZINE"
33336.1	"DIPROSONE"
33354.1	"DIPROSONE"
33424.1	"BRONCHODINE"
33442.1	"CELESTONE 0
8005.1	"MONOFREE TROPICAMIDE 0
8041.1	"EXACYL 250 MG"
8057.1	"EXACYL 500MG/5ML"
8574.1	"OPHTAMEDINE"
8723.1	"ETUMINE"
9152.1	"MONOFREE OXYBUPROCAINE HCL 0
9423.1	"DOMINAL FORTE 80 MG"
9511.1	"MADECASSOL"
9703.1	"THERALENE 40 MG/ML"
9965.1	"CEDIUM BENZALKONIUM 1 MG (EX CEDIUM)"
