"","cti","ActSubst.Name","unit","dosis","DateNew"
"1",25,"HALOPERIDOL","MG","5.00",""
"2",95,"CYCLOPHOSPHAMIDE","MG","100.00",""
"3",113,"HALOPERIDOL","MG/ML","2.00",""
"4",122,"CYCLOPHOSPHAMIDE","MG","200.00",""
"5",131,"CYCLOPHOSPHAMIDE","MG","50.00",""
"6",174,"BENPERIDOL","MG/ML","1.00",""
"7",271,"PIPAMPERONE HCL","MG","48.00",""
"8",463,"MICONAZOLE NITRATE","MG/G","20.00",""
"9",585,"CINNARIZINE","MG","25.00",""
"10",682,"CYCLOPHOSPHAMIDE","MG","500.00",""
"11",691,"HYDROCORTISONE","MG/G","10.00",""
"12",691,"MICONAZOLE NITRATE","MG/G","20.00",""
"13",847,"PIMOZIDE","MG","4.00",""
"14",856,"PIMOZIDE","MG","1.00",""
"15",892,"PENFLURIDOL","MG","20.00",""
"16",987,"MICONAZOLE NITRATE","MG/G","20.00",""
"17",996,"FLUSPIRILENE","MG/ML","2.00",""
"18",1032,"MICONAZOLE NITRATE","MG/G","20.00",""
"19",1057,"MEBENDAZOLE","MG","100.00",""
"20",1163,"HALOPERIDOL","MG","2.00",""
"21",1197,"HALOPERIDOL","MG","5.00",""
"22",1215,"LOPERAMIDE HYDROCHLORIDE","MG","2.00",""
"23",1294,"IMMUNOGLOBULINUM HUMANUM ANTI-D (RHO)","","Q.S.",""
"24",1547,"NITROFURAZONE","MG/G","2.00",""
"25",1583,"NITROFURANTOIN","MG","50.00",""
"26",1601,"NITROFURANTOIN","MG","100.00",""
"27",1802,"SPIRAMYCIN","MG","500.00",""
"28",1811,"ALIMEMAZINE TARTRATE","MG","10.00",""
"29",2073,"HEXAMIDINE DIISETIONATE","MG/G","1.00",""
"30",2073,"TETRACAINE HYDROCHLORIDE","MG/G","0.50",""
"31",2195,"PHENOBARBITAL","MG","100.00",""
"32",2362,"LEVOMEPROMAZINE MALEATE","MG","135.00",""
"33",2396,"BENZOATE SODIUM","MG/ML","0.66",""
"34",2396,"GUAIFENESIN","MG/ML","0.66",""
"35",2396,"OXOMEMAZINE","MG/ML","0.33",""
"36",2396,"PARACETAMOL","MG/ML","0.66",""
"37",2466,"HEXAMIDINE DIISETIONATE","MG/ML","1.50",""
"38",2554,"CHLOROQUINE SULFATE","MG","136.00",""
"39",2624,"METRONIDAZOLE","MG","500.00",""
"40",2642,"HEXAMIDINE DIISETIONATE","MG/ML","1.00",""
"41",2694,"DAUNORUBICIN HYDROCHLORIDE","MG","21.40",""
"42",2791,"PROMETHAZINE HYDROCHLORIDE","MG","56.40",""
"43",2852,"ALIMEMAZINE TARTRATE","MG","5.00",""
"44",3062,"LEVOMEPROMAZINE MALEATE","MG","33.80",""
"45",3071,"LEVOMEPROMAZINE HYDROCHLORIDE","MG","28.00",""
"46",3096,"LEVOMEPROMAZINE HYDROCHLORIDE","MG/ML","44.44",""
"47",3157,"CAFFEINE","MG","50.00",""
"48",3157,"PARACETAMOL","MG","500.00",""
"49",3184,"CAFFEINE","MG","50.00",""
"50",3184,"PARACETAMOL","MG","500.00",""
"51",3446,"METHOTREXATE","MG","2.50",""
"52",3491,"GLUCOSE (ANHYDROUS)","MG/ML","50.00",""
"53",3491,"KALII PHOSPHAS DIBASIC (= DIKALII HYDROGENOPHOSPHAS)","MCG/ML","261.30",""
"54",3491,"LACTIC ACID","MCG/ML","180.00",""
"55",3491,"MAGNESIUM CHLORIDE HEXAHYDRATE","MCG/ML","305.00",""
"56",3491,"NATRII LACTAS","MCG/ML","2578.00",""
"57",3491,"POTASSIUM CHLORIDE","MCG/ML","1267.00",""
"58",3491,"SODIUM CHLORIDE","MCG/ML","117.00",""
"59",3507,"GLUCOSE (ANHYDROUS)","MG/ML","50.00",""
"60",3507,"KALII PHOSPHAS DIBASIC (= DIKALII HYDROGENOPHOSPHAS)","MG/ML","1.08",""
"61",3507,"LACTIC ACID","MG/ML","0.54",""
"62",3507,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.53",""
"63",3507,"NATRII LACTAS","MG/ML","2.13",""
"64",3507,"POTASSIUM CHLORIDE","MG/ML","1.00",""
"65",3507,"SODIUM CHLORIDE","MG/ML","2.00",""
"66",3586,"CLOMETOCILLIN POTASSIUM","MG","500.00",""
"67",3656,"CHLORAMPHENICOL","MG/ML","5.00",""
"68",3665,"CHLORAMPHENICOL","MG/G","10.00",""
"69",3692,"CHLORAMPHENICOL","MG/G","10.00",""
"70",3771,"EPITIZIDE","MG","4.00",""
"71",3771,"TRIAMTERENE","MG","50.00",""
"72",4076,"CHLORTETRACYCLINE HYDROCHLORIDE","MG/G","10.00",""
"73",4094,"TRIHEXYPHENIDYL HYDROCHLORIDE","MG","2.00",""
"74",4103,"TRIHEXYPHENIDYL HYDROCHLORIDE","MG","5.00",""
"75",4121,"ACETAZOLAMIDE","MG","250.00",""
"76",4137,"ACETAZOLAMIDUM NATRICUM","MG","500.00",""
"77",4295,"BENZYLPENICILLIN BENZATHINE","UI","1200000.00",""
"78",4426,"BACITRACIN","UI/ML","500.00",""
"79",4426,"NEOMYCIN","MG/ML","5.00",""
"80",4444,"CALAMINE","MG/ML","80.00",""
"81",4444,"DIPHENHYDRAMINE HYDROCHLORIDE","MG/ML","10.00",""
"82",4514,"CALAMINE","MG/G","80.00",""
"83",4514,"DIPHENHYDRAMINE HYDROCHLORIDE","MG/G","10.00",""
"84",4584,"ETHOSUXIMIDE","MG/ML","50.00",""
"85",4697,"PHENELZINE SULFATE","MG","25.80",""
"86",4934,"PHENYTOIN","MG/ML","25.00",""
"87",5004,"PHENYTOIN SODIUM","MG","100.00",""
"88",5293,"KETAMINE HYDROCHLORIDE","MG","500.00",""
"89",5625,"CAPSICI OLEORESINA","MG/ML","2.00",""
"90",5625,"DIPROPYLENUM GLYCOLI SALICYLAS","MG/ML","200.00",""
"91",6212,"SULFACETAMIDE SODIUM","MG/ML","100.00",""
"92",6964,"PO(LY)VIDONE-IODINE","MG/ML","10.00",""
"93",7077,"PO(LY)VIDONE-IODINE","MG/ML","100.00",""
"94",7086,"PO(LY)VIDONE-IODINE","MG/ML","100.00",""
"95",7095,"PO(LY)VIDONE-IODINE","MG/ML","75.00",""
"96",7217,"ALUMINIUM MAGNESIUM SILICATE","MG","3000.00",""
"97",7567,"ASIATICUM ACIDUM","MG","4.00",""
"98",7944,"CETALKONIUM CHLORIDE","MG/G","0.10",""
"99",7944,"CHOLINE SALICYLATE        {","MG/G","87.14",""
"100",8005,"TROPICAMIDE","MG/ML","5.00",""
