"","Brouwerij","Freq"
"2","'t Hofbrouwerijke in opdracht van Brouwerij Het Nest",1
"3","'t Hofbrouwerijke voor bierfirma Montaignu",1
"4","'t Hofbrouwerijke voor Brouwerij Montaigu",1
"7","3 Fonteinen, Brouwerij Boon, Timmermans, Oud Beersel, Lindemans, De Troch, De Cam, Hanssens",1
"8","AB Inbev",1
"10","AB-InBev",1
"11","Abdij Notre-Dame d'Orval",1
"18","Affligem Brouwerij (vroeger Brouwerij De Smedt nu deel van Heineken)",1
"22","Alken-Maes (Heineken) (vroeger in Brouwerij De Gouden Boom)",1
"23","Antwerpse Brouw Compagnie",1
"45","Brasserie de la Senne",1
"49","Brasserie des Carrières",1
"56","Brasserie du Bocq voor Brouwerij Corsendonk",1
"58","Brasserie du Bocq voor Corsendonk nv",1
"63","Brasserie Gigi",1
"65","Brasserie Jean Tout Seul",1
"71","Brasserie La Ferme au Chêne",1
"75","Brasserie Les 3 Fourquets in opdracht van de Confrérie du Tchesté de Neufchâteau",1
"77","Brasserie Oxymore",1
"78","Brasserie Saint Feuillien",1
"79","Brasserie Saint-Feuillien",1
"83","Brasserie St. Jean",1
"87","Brouwerij 't Pakhuis",1
"90","Brouwerij Anders! voor Brouwerij Henricus",1
"92","Brouwerij Anders! voor GIBRIT",1
"93","Brouwerij Anders! voor Nonneke",1
"94","Brouwerij Anders! voor Verenigde Brouwers",1
"98","Brouwerij Bavik voor “Mout- en Brouwhuis De Snoek”",1
"102","Brouwerij Bier & Karakter bij Brouwerij Deca",1
"106","Brouwerij Boelens in opdracht van VVV De Faluintjesstreek",1
"107","Brouwerij Boelens voor Bier- en Wijnhandel De Neys-Asselman",1
"110","Brouwerij Brootcoorens",1
"117","Brouwerij Danny voor Stichting Marcel De Bisschop",1
"126","Brouwerij De Graal voor bierfirma Johannes",1
"127","Brouwerij De Graal voor bierfirma Ribaldus",1
"130","Brouwerij De Graal voor Bryggja",1
"133","Brouwerij De Graal voor De Verhuisbrouwerij",1
"134","Brouwerij De Graal voor Hopduvel Gent",1
"135","Brouwerij De Graal voor Microbrouwerij Paeleman in opdracht van Kwets vzw",1
"136","Brouwerij De Graal voor SLIM",1
"137","Brouwerij De Graal voor t'Drankorgel",1
"138","Brouwerij De Graal voor Traagwater",1
"146","Brouwerij De Plukker",1
"148","Brouwerij De Ranke voor Bierwinkel Bacelle",1
"150","Brouwerij De Ranke voor NovaBirra",1
"152","Brouwerij De Rijck",1
"154","Brouwerij De Smedt in opdracht van bierfirma Fisser",1
"158","Brouwerij Deca voor Verstraete",1
"166","Brouwerij du Bocq",1
"171","Brouwerij en stokerij Wilderen",1
"172","Brouwerij Fort Lapin",1
"175","Brouwerij Gulden Spoor voor Alain Quackelbeen",1
"181","Brouwerij Het Alternatief bij Brouwerij De Graal of Brouwerij Alvinne",1
"183","Brouwerij Het Anker (vroeger in Brouwerij Riva en Brouwerij Liefmans)",1
"184","Brouwerij Het Gulden Spoor",1
"189","Brouwerij Huyghe voor de De Scheldebrouwerij",1
"195","Brouwerij Kerkom bij Brouwerij Sint-Jozef",1
"196","Brouwerij Kortrijk-d’Utsel",1
"204","Brouwerij Lupus in opdracht van Paters en Prinsen",1
"205","Brouwerij Lupus voor (T)Huisbrouwerij Odlo",1
"208","Brouwerij Maenhout voor bierfirma Proefbrouwerij d'oude maalderij",1
"211","Brouwerij Martens voor Aldi",1
"212","Brouwerij Mortal's Beers",1
"214","Brouwerij Opus Magnum",1
"218","Brouwerij Palm voor Group John Martin",1
"219","Brouwerij Piedbœuf",1
"228","Brouwerij Slaapmutske",1
"230","Brouwerij Slaghmuylder in opdracht van VVV De Faluintjesstreek",1
"236","Brouwerij St. Bernardus voor café Den Toerist",1
"238","Brouwerij Strubbe voor “Mout- en Brouwhuis De Snoek”",1
"239","Brouwerij Strubbe voor bierfirma Den Haene",1
"240","Brouwerij Strubbe voor Bierfirma Den Haene",1
"245","Brouwerij Strubbe voor stad Lier",1
"248","Brouwerij Toye",1
"250","Brouwerij Van den Bossche",1
"252","Brouwerij Van Den Bossche voor Scouts Moen 50 jaar (2011)",1
"254","Brouwerij Van Eecke voor Extremis",1
"257","Brouwerij Van Steenberge in opdracht van Brouwerij Vanuxeem",1
"258","Brouwerij Van Steenberge voor BIVO Drinks",1
"261","Brouwerij Van Steenberge voor de gemeente Bierbeek en Terclavers",1
"274","Brouwers Verzet in Brouwerij De Ranke",1
"275","Brouwersverzet bij Brouwerij Gulden Spoor",1
"277","De Dolle Brouwers voor Kaffee Kavijaks",1
"278","De Lion à Plume bij Brasserie de Bastogne",1
"279","De Lion à Plume bij Brasserie Sainte-Hélène",1
"284","De Proefbrouwerij voor ’t Brugs Bierinstituut",1
"287","De Proefbrouwerij voor bierfirma BVG",1
"288","De Proefbrouwerij voor bierfirma Half Zeven",1
"291","De Proefbrouwerij voor Bierfirma Trappieter",1
"292","De Proefbrouwerij voor Bierfirma Vacas",1
"293","De Proefbrouwerij voor bierfirma VALOCCO",1
"294","De Proefbrouwerij voor Brouwerij Cluysenaer",1
"297","De Proefbrouwerij voor Brouwerij Pirlot",1
"300","De Proefbrouwerij voor Brouwerij Troch",1
"301","De Proefbrouwerij voor Buitenlust",1
"303","De Proefbrouwerij voor de familie Neyt",1
"304","De Proefbrouwerij voor de gemeente Zwalm",1
"305","De Proefbrouwerij voor De Verhuisbrouwerij",1
"306","De proefbrouwerij voor Den Ouden Advokaat",1
"307","De Proefbrouwerij voor Den Ouden Advokaat",1
"308","De Proefbrouwerij voor Gageleer cbva-so",1
"309","De Proefbrouwerij voor Geuzestekerij 3 Fonteinen",1
"310","De Proefbrouwerij voor Het Waterhuis aan de bierkant",1
"311","De Proefbrouwerij voor het Zeuntcomité",1
"313","De Proefbrouwerij voor Oude Brouwerij van Zonnegem vzw",1
"314","De Proefbrouwerij voor Stepaja bvba",1
"316","De Proefbrouwerij voor The Musketeers",1
"324","De Verhuisbrouwerij",1
"326","Gageleer",1
"327","Geuzestekerij 3 fonteinen",1
"333","Haacht",1
"339","Huisbrouwerij Sint Canarus bij De Proefbrouwerij",1
"340","Huisbrouwerij Sint Canarus voor De Verhuisbrouwerij",1
"341","Huisbrouwerij Sint Canarus voor JCI Deinze en Leiestreek",1
"345","Kasteelbrouwerij De Dool",1
"346","Les Artisans Brasseurs",1
"348","Microbrouwerij Achilles in De Proefbrouwerij in opdracht van Paters en Prinsen",1
"351","Scheldebrouwerij voor Brouwerij Het Nest",1
"352","Scheldebrouwerij voor Hobbybrouwerij Het Nest",1
"356","Stadsbrouwerij Aarschot",1
"358","Staminee De Garre (Brouwerij Van Steenberge)",1
"360","voor bierfrima Vacas",1
"361","Zennebrouwerij",1
"5","‘t Hofbrouwerijke voor De Verhuisbrouwerij",2
"6","’t Hofbrouwerijke voor Montaigu",2
"25","Bierfirma NoordSter bij Brouwerij De Vlier",2
"31","Brasserie Caulier",2
"32","Brasserie d'Achouffe (Duvel-Moortgat)",2
"33","Brasserie d'Ebly",2
"37","Brasserie de Bertinchamps",2
"44","Brasserie de l'Abbaye du Val-Dieu voor Radermacher Distillerie",2
"51","Brasserie des Géants",2
"66","Brasserie la Barbiot",2
"72","Brasserie La Frasnoise",2
"74","Brasserie les 3 Fourquets",2
"89","Brouwerij Anders! voor BOMBrewery",2
"103","Brouwerij Bios",2
"113","Brouwerij Cnudde",2
"116","Brouwerij Danny",2
"121","Brouwerij De Cock bij Brouwerij Van Steenberge",2
"125","Brouwerij De Graal voor (T)Huisbrouwerij Odlo",2
"128","Brouwerij De Graal voor bierfirma Vacas",2
"129","Brouwerij De Graal voor Brouwerij De Kassei",2
"132","Brouwerij De Graal voor De Hopjutters",2
"165","Brouwerij Donum Ignis",2
"178","Brouwerij Hanssens",2
"188","Brouwerij Huyghe voor Brouwerij Oud Beersel",2
"190","Brouwerij Huyghe voor Oxfam wereldwinkels",2
"191","Brouwerij Inter-Pol",2
"193","Brouwerij Jessenhofke bij De Proefbrouwerij",2
"207","Brouwerij Maenhout bij Brouwerij Gulden Spoor",2
"209","Brouwerij Martens",2
"226","Brouwerij Sint-Jozef voor brouwerij Kerkom",2
"227","Brouwerij Sint-Jozef voor Brouwerij Kerkom",2
"231","Brouwerij Slagmuylder",2
"233","Brouwerij St-Bernardus",2
"241","Brouwerij Strubbe voor BioFresh",2
"243","Brouwerij Strubbe voor den Haene",2
"262","Brouwerij Van Steenberge voor Hopduvel Gent",2
"265","Brouwerij Verhaeghe Vichte",2
"269","Brouwerij Walrave",2
"270","Brouwerij Westmalle",2
"272","Brouwerij Wilderen",2
"281","De Proefbrouwerij in opdracht van Brouwerij Pirlot",2
"283","De Proefbrouwerij in opdracht van De Kastelse Biervereniging",2
"286","De Proefbrouwerij voor bierfirma Bas-bieren",2
"290","De Proefbrouwerij voor bierfirma Slaapmutske",2
"302","De Proefbrouwerij voor Captain Cooker",2
"320","De Scheldebrouwerij voor Brouwerij Het Nest",2
"321","De Scheldebrouwerij voor De Lelie",2
"325","Dorpsbrouwerij Humulus",2
"332","Gueuzerie Tilquin",2
"335","Huisbrouwerij 't Pakhuis",2
"337","Huisbrouwerij Den Tseut",2
"347","Microbrouwerij Achilles",2
"354","Seizoensbrouwerij Vandewalle",2
"359","voor bierfirma Vacas",2
"12","Abdij Notre-Dame de Saint-Rémy",3
"29","Brasserie Cantillon",3
"42","Brasserie de Jandrain-Jandrenouille",3
"50","Brasserie des Fagnes",3
"53","Brasserie du Bocg voor Broeder Jacob bvba",3
"67","Brasserie La Binchoise",3
"68","Brasserie La Binchoise (voor Brasserie de Malonne)",3
"70","Brasserie La Botteresse de Sur-les-Bois",3
"73","Brasserie Lefebvre",3
"81","Brasserie Saint-Monon voor Confrérie du Busson",3
"95","Brouwerij Angerik",3
"96","Brouwerij Augrenoise",3
"100","Brouwerij Belle-Vue (Inbev)",3
"115","Brouwerij d'Achouffe (Duvel-Moortgat)",3
"118","Brouwerij De Arend",3
"142","Brouwerij De Koningshoeven in opdracht van Brouwerij Urthel",3
"145","Brouwerij De Leyerth",3
"161","Brouwerij Den Toetëlèr",3
"176","Brouwerij Gulden Spoor voor bierfirma Hugel",3
"179","Brouwerij Het Alternatief bij Brouwerij Alvinne",3
"192","Brouwerij Jessenhofke",3
"203","Brouwerij Lupus",3
"206","Brouwerij Maenhout",3
"210","Brouwerij Martens (Bocholt)",3
"215","Brouwerij Oud Beersel",3
"246","Brouwerij Ter Dolen",3
"260","Brouwerij Van Steenberge voor De Brouwerij van Vlaanderen",3
"263","Brouwerij Van Steenberge voor Paeleman",3
"266","Brouwerij Verhaeghe Vichte in opdracht van Brouwerij Vanuxeem",3
"268","Brouwerij Vissenaken",3
"271","Brouwerij Wieze",3
"273","Brouwerijen Alken-Maes",3
"289","De Proefbrouwerij voor bierfirma Lesage",3
"295","De Proefbrouwerij voor Brouwerij Druïde",3
"315","De Proefbrouwerij voor The House of Caulier",3
"317","De Proefbrouwerij voor Vliegende Paard Brouwers",3
"329","Geuzestekerij De Cam",3
"334","Hanssens Artisanaal",3
"338","Huisbrouwerij Sint Canarus",3
"342","Huisbrouwerij Sint-Canarus",3
"344","InBev",3
